F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_46_413.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_46_413.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_46_413.jpg, 0, 0, 0, 7.94501E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_46_513.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_46_513.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_46_513.jpg, 0, 0, 0, 7.868114E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_46_613.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_46_613.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_46_613.jpg, 0, 0, 0, 8.048781E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_46_715.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_46_715.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_46_715.jpg, 0, 0, 0, 7.838405E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_46_816.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_46_816.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_46_816.jpg, 0, 0, 0, 7.8347E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_46_919.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_46_919.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_46_919.jpg, 0, 0, 0, 7.796909E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_47_019.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_47_019.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_47_019.jpg, 0, 0, 0, 7.838797E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_47_122.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_47_122.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_47_122.jpg, 0, 0, 0, 7.825605E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_47_223.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_47_223.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_47_223.jpg, 0, 0, 0, 7.84649E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_47_325.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_47_325.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_47_325.jpg, 0, 0, 0, 7.831759E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_47_426.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_47_426.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_47_426.jpg, 0, 0, 0, 7.845257E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_47_528.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_47_528.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_47_528.jpg, 0, 0, 0, 7.781546E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_47_630.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_47_630.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_47_630.jpg, 0, 0, 0, 7.82229E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_47_730.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_47_730.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_47_730.jpg, 0, 0, 0, 7.971632E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_47_832.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_47_832.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_47_832.jpg, 0, 0, 0, 8.276501E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_47_934.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_47_934.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_47_934.jpg, 0, 0, 0, 7.803061E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_48_037.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_48_037.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_48_037.jpg, 0, 0, 0, 7.775975E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_48_139.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_48_139.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_48_139.jpg, 0, 0, 0, 7.836376E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_48_240.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_48_240.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_48_240.jpg, 0, 0, 0, 7.812311E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_48_341.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_48_341.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_48_341.jpg, 0, 0, 0, 7.816118E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_48_443.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_48_443.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_48_443.jpg, 0, 0, 0, 7.809413E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_48_546.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_48_546.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_48_546.jpg, 0, 0, 0, 7.867085E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_48_648.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_48_648.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_48_648.jpg, 0, 0, 0, 7.845106E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_48_748.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_48_748.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_48_748.jpg, 0, 0, 0, 7.829432E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_48_849.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_48_849.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_48_849.jpg, 0, 0, 0, 7.831732E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_48_949.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_48_949.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_48_949.jpg, 0, 0, 0, 7.959677E-05
F:\Self_Driving_Car\IMG\center_2018_12_28_02_27_49_051.jpg, F:\Self_Driving_Car\IMG\left_2018_12_28_02_27_49_051.jpg, F:\Self_Driving_Car\IMG\right_2018_12_28_02_27_49_051.jpg, 0, 0.2724024, 0, 0.1636302
